                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.91984,                 1.5109,                 1.2621,                0.10313,                0.27273,                0.10139,                0.04692,                 2.2541,                 3.1422,                 2.5781,              0.0077725,              0.0077725,              0.0077725
                     47,                0.92334,                 1.5705,                 1.2452,                0.16913,                0.63636,                0.17324,                0.08122,                 1.9126,                 3.2963,                 2.2604,               0.007723,               0.007723,               0.007723
                     48,                0.96941,                 1.5218,                 1.2569,                0.67663,                0.27273,                0.31986,                0.21217,                 1.8071,                 3.0061,                 2.3154,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0015,                 1.5727,                 1.2677,                0.46267,                0.54545,                0.48739,                0.25841,                  1.684,                 3.1199,                 2.3997,               0.007624,               0.007624,               0.007624
                     50,                 1.0439,                 1.6717,                  1.324,                0.75738,                0.36364,                0.54229,                0.31327,                 1.3696,                 3.1902,                 2.2604,              0.0075745,              0.0075745,              0.0075745
                     51,                0.76815,                 1.2491,                 1.1097,                0.51896,                      1,                0.78303,                0.48082,                 1.1377,                 2.6786,                 2.0367,               0.007525,               0.007525,               0.007525
                     52,                0.88551,                 1.3988,                 1.2394,                  0.516,                   0.68,                0.57947,                0.28598,                 1.3857,                 2.8792,                 2.4439,              0.0074755,              0.0074755,              0.0074755
                     53,                0.96811,                  1.458,                 1.2616,                 0.6492,                0.72727,                0.58242,                0.25182,                 1.2641,                 2.7561,                 2.2667,               0.007426,               0.007426,               0.007426
                     54,                0.91784,                  1.541,                 1.2217,                0.60395,                0.72727,                0.55675,                 0.2146,                 1.3822,                 2.6339,                 2.1668,              0.0073765,              0.0073765,              0.0073765
                     55,                0.87648,                 1.4474,                 1.2039,                0.71653,                0.72727,                0.80693,                0.44839,                0.88213,                 3.1387,                 1.6509,               0.007327,               0.007327,               0.007327
                     56,                0.99877,                 1.4866,                 1.2944,                0.77134,                0.72727,                0.84469,                 0.4336,                 1.2534,                 2.6934,                 1.9445,              0.0072775,              0.0072775,              0.0072775
                     57,                0.82918,                 1.4627,                 1.1837,                0.82154,                0.90909,                  0.918,                0.41952,                 1.4885,                 2.8574,                 2.0972,               0.007228,               0.007228,               0.007228
                     58,                 0.8426,                 1.3521,                 1.1661,                0.91639,                0.81818,                0.95869,                0.41185,                 1.6053,                 2.4711,                 2.1692,              0.0071785,              0.0071785,              0.0071785
                     59,                0.87975,                 1.4734,                 1.2374,                 0.7117,                      1,                  0.913,                0.49223,                 1.5056,                 2.6074,                 2.1902,               0.007129,               0.007129,               0.007129
                     60,                0.85877,                 1.3333,                 1.2085,                0.43412,                0.63636,                0.41319,                0.16328,                 1.5854,                 3.4304,                 2.1058,              0.0070795,              0.0070795,              0.0070795
                     61,                0.98127,                  1.515,                 1.2506,                0.68125,                0.63636,                0.71888,                0.40813,                 1.3198,                 2.6863,                 1.8935,                0.00703,                0.00703,                0.00703
                     62,                0.84939,                 1.3658,                  1.197,                0.50142,                0.81818,                0.64828,                0.34542,                 1.4242,                 2.3116,                 2.0121,              0.0069805,              0.0069805,              0.0069805
                     63,                0.75963,                 1.3189,                 1.1437,                0.66653,                0.36345,                0.48201,                0.29386,                 1.4349,                 2.4005,                 1.9314,               0.006931,               0.006931,               0.006931
                     64,                0.86408,                 1.3447,                 1.1636,                0.30458,                0.63709,                0.39236,                 0.2768,                 1.7096,                 2.2166,                 2.1124,              0.0068815,              0.0068815,              0.0068815
                     65,                0.92022,                 1.4535,                 1.2417,                0.35092,                0.54545,                0.34435,                0.18559,                 2.0076,                 2.2528,                 2.2804,               0.006832,               0.006832,               0.006832
                     66,                0.82886,                 1.3194,                 1.1588,                0.37843,                0.27273,                0.31464,                0.19574,                 1.8171,                 2.2116,                 2.1109,              0.0067825,              0.0067825,              0.0067825
